ano_mes,empresa,setor_rh,headcount
2021-05,CENTRO ELO,Apoio Pedagógico,11
2021-06,CENTRO ELO,Apoio Pedagógico,11
2021-07,CENTRO ELO,Apoio Pedagógico,11
2021-08,CENTRO ELO,Apoio Pedagógico,11
2021-09,CENTRO ELO,Apoio Pedagógico,11
2021-10,CENTRO ELO,Apoio Pedagógico,11
2021-11,CENTRO ELO,Apoio Pedagógico,11
2021-12,CENTRO ELO,Apoio Pedagógico,10
2022-01,CENTRO ELO,Apoio Pedagógico,10
2022-02,CENTRO ELO,Apoio Pedagógico,10
2022-03,CENTRO ELO,Apoio Pedagógico,10
2022-04,CENTRO ELO,Apoio Pedagógico,10
2022-05,CENTRO ELO,Apoio Pedagógico,11
2022-06,CENTRO ELO,Apoio Pedagógico,11
2022-07,CENTRO ELO,Apoio Pedagógico,11
2022-08,CENTRO ELO,Apoio Pedagógico,11
2022-09,CENTRO ELO,Apoio Pedagógico,11
2022-10,CENTRO ELO,Apoio Pedagógico,11
2022-11,CENTRO ELO,Apoio Pedagógico,11
2022-12,CENTRO ELO,Apoio Pedagógico,11
2023-01,CENTRO ELO,Apoio Pedagógico,11
2023-02,CENTRO ELO,Apoio Pedagógico,11
2023-03,CENTRO ELO,Apoio Pedagógico,11
2023-04,CENTRO ELO,Apoio Pedagógico,11
2023-05,CENTRO ELO,Apoio Pedagógico,11
2023-06,CENTRO ELO,Apoio Pedagógico,11
2023-07,CENTRO ELO,Apoio Pedagógico,11
2023-08,CENTRO ELO,Apoio Pedagógico,12
2023-09,CENTRO ELO,Apoio Pedagógico,11
2023-10,CENTRO ELO,Apoio Pedagógico,12
2023-11,CENTRO ELO,Apoio Pedagógico,11
2023-12,CENTRO ELO,Apoio Pedagógico,11
2024-01,CENTRO ELO,Apoio Pedagógico,11
2024-02,CENTRO ELO,Apoio Pedagógico,12
2024-03,CENTRO ELO,Apoio Pedagógico,13
2024-04,CENTRO ELO,Apoio Pedagógico,13
2024-05,CENTRO ELO,Apoio Pedagógico,12
2024-06,CENTRO ELO,Apoio Pedagógico,13
2024-07,CENTRO ELO,Apoio Pedagógico,12
2024-08,CENTRO ELO,Apoio Pedagógico,12
2024-09,CENTRO ELO,Apoio Pedagógico,12
2024-10,CENTRO ELO,Apoio Pedagógico,11
2024-11,CENTRO ELO,Apoio Pedagógico,12
2024-12,CENTRO ELO,Apoio Pedagógico,12
2025-01,CENTRO ELO,Apoio Pedagógico,11
2025-02,CENTRO ELO,Apoio Pedagógico,12
2025-03,CENTRO ELO,Apoio Pedagógico,14
2025-04,CENTRO ELO,Apoio Pedagógico,14
2025-05,CENTRO ELO,Apoio Pedagógico,15
